Title,Link,Channel Name,Channel Link,Subscriber Count,Category,Views,Likes,DislikesDrDisrespect shows why he is the SNIPER GOD in ANY GAME,https://www.youtube.com/watch?v=gF7TSlGv6no&fbclid=IwAR3u-MSia_FTkm1D9hZuQ4w1gxOApAHC08gRv7XFtsfNZ0Z-q-3KiVTmuhk,DrDisRespect,www.youtube.com/channel/UCcJL2ld6kxy_nuV1u7PVQ0g,1.4M,None,"15,824","1,963",27
Ryan Newman hospitalized after terrifying crash at Daytona 500,https://www.youtube.com/watch?v=owURzgtwOSw,#1 on Trending,www.youtube.com/feed/trending,2.32M,None,"1,281,733","9,389","1,014"
Taylor Swift - The Man (Live From Paris),https://www.youtube.com/watch?v=F3aXpa1rQEY,#22 on Trending,www.youtube.com/feed/trending,37.1M,None,"791,761","139,418",874
NBA All-Star Game 2020 | Full Highlights,https://www.youtube.com/watch?v=W26BIFLCWC0,#28 on Trending,www.youtube.com/feed/trending,13.3M,None,"713,000","8,326",314
Never Trust Summit1g in Escape from Tarkov,https://www.youtube.com/watch?v=9lmaoK-FklU,DrDisRespect,www.youtube.com/channel/UCcJL2ld6kxy_nuV1u7PVQ0g,1.4M,None,"260,989","7,911",185
Four Billion Followers. Four Years.,https://www.youtube.com/watch?v=y1JecP8vr1o,DrDisRespect,www.youtube.com/channel/UCcJL2ld6kxy_nuV1u7PVQ0g,1.4M,None,"155,815","8,699",116
Dark Souls by Regole in 36:22 - AGDQ2020,https://www.youtube.com/watch?v=qubpr4XLy5g,Games Done Quick,www.youtube.com/channel/UCI3DTtB-a3fJPjKtQ5kYHfA,799K,None,"974,599","17,861",515
ONLINE RAIDING EVERY BASE ON OUR HIT LIST WITH ROCKETS | RUST (6 of 6),https://www.youtube.com/watch?v=LdvEdgS1Fq4,Friduwulf,www.youtube.com/channel/UCpqHUr1kJihYxNDQTK4t8rQ,161K,None,"82,532","3,138",294
"Doc shows Shroud, Summit1G and the boys how its done in Tarkov",https://www.youtube.com/watch?v=pVAWJ17P-CU,DrDisRespect,www.youtube.com/channel/UCcJL2ld6kxy_nuV1u7PVQ0g,1.4M,None,"352,071","10,621",232
the most extreme game of fortnite ever,https://www.youtube.com/watch?v=D35q6c_MVG4,#16 on Trending for gaming,www.youtube.com/feed/trending?bp=4gILCgkvbS8wYnp2bTI%3D,3.93M,None,"830,649","37,353",575
6 GTA Easter Eggs Found YEARS LATER,https://www.youtube.com/watch?v=1TieKn0W4o0,gameranx,www.youtube.com/channel/UCNvzD7Z-g64bPXxGzaQaa4g,5.53M,None,"3,065,961","62,248","3,604"
The Worst Fake Speedrun on Youtube,https://www.youtube.com/watch?v=AFrQ1_2bbsI,Karl Jobst,www.youtube.com/channel/UC3ltptWa0xfrDweghW94Acg,157K,None,"3,949,469","131,311","2,897"
DR DISRESPECT MEGA RAGE COMPILATION 2019,https://www.youtube.com/watch?v=okDN_CY5RNc,CHAMPIONS CLUB,www.youtube.com/channel/UCwFgZQ4rmtp4VbKvapwksIQ,None,None,"853,697","13,383",391
Is the  *NEW* Prowler the KING of SMGs? (Apex Legends - Season 4),https://www.youtube.com/watch?v=C_PFpoTHhbY,kandyrew,www.youtube.com/channel/UC6u4spnoeIUHtfUZxhG2RfQ,288K,None,"224,502","6,018",108
10 NEAR IMPOSSIBLE Trophies on the PS4,https://www.youtube.com/watch?v=CbiarLHF8TU,gameranx,www.youtube.com/channel/UCNvzD7Z-g64bPXxGzaQaa4g,5.53M,None,"1,388,710","29,803",904
J. Allen Brack's Unrepentant Bullshit (The Jimquisition),https://www.youtube.com/watch?v=ulK3yom1iDY,Jim Sterling,www.youtube.com/channel/UCWCw2Sd7RlYJ2yuNVHDWNOA,896K,None,"334,999","20,770",265
At The Limit! - Escape From Tarkov,https://www.youtube.com/watch?v=b_CaZQ4bqO4,Anton,www.youtube.com/channel/UCAn1oI-WE2wiEtnAk0dMohw,99.5K,None,"54,809","1,666",43
*OG* FORTNITE FASHION SHOW! | MOST OG and EMOTES Wins! [7/8],https://www.youtube.com/watch?v=ckwbuL52VGk,#24 on Trending for gaming,www.youtube.com/feed/trending?bp=4gILCgkvbS8wYnp2bTI%3D,334K,None,"207,872","12,262",180
TIRION + RIVENDARE = BFFs - Hearthstone Battlegrounds,https://www.youtube.com/watch?v=p3lEvnZPr8s,Kripparrian,www.youtube.com/channel/UCeBMccz-PDZf6OB4aV6a3eA,956K,None,"111,150","2,572",113
DrDisrespect Goes on a TOTAL TARKOV RAMPAGE,https://www.youtube.com/watch?v=QKV9ZLsMB5M,DrDisRespect,www.youtube.com/channel/UCcJL2ld6kxy_nuV1u7PVQ0g,1.4M,None,"209,386","7,701",159
"I found a *Secret* Loba tease in Apex Legends, but ran into CHEATERS...so I EXPOSED them! (Gameplay)",https://www.youtube.com/watch?v=3r4BEoTUaH4,Raynday Gaming,www.youtube.com/channel/UC2lU0xK5HgeNwzFaWKuBt8A,308K,None,"24,379","1,838",57
When You Can't Decide Which SMG is Better... - PS4 Apex Legends,https://www.youtube.com/watch?v=tvtZRKRwfQ4,iTemp Plays,www.youtube.com/channel/UCxE76PmXA8V_5wHOWGpRrmA,812K,None,"198,120","7,761",85
DrDisrespect's INSANE GAME on Escape From Tarkov [17 FRAGS],https://www.youtube.com/watch?v=hr7KXv94eog,DrDisRespect,www.youtube.com/channel/UCcJL2ld6kxy_nuV1u7PVQ0g,1.4M,None,"164,231","5,973",164
The END of DrDisrespect's CAREER,https://www.youtube.com/watch?v=Lig540xKio0,DrDisRespect,www.youtube.com/channel/UCcJL2ld6kxy_nuV1u7PVQ0g,1.4M,None,"647,545","18,397",634
"Denny Hamlin talks after Daytona 500, Ryan Newman crash | Motorsports on NBC",https://www.youtube.com/watch?v=GI9dteiE8f4,#4 on Trending,www.youtube.com/feed/trending,163K,None,"219,794","1,410",262
